GeoFips,GeoName,LineCode,Description,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
01000,Alabama,10,Total employment,2559746,2532491,2512680,2500966,2468807,2494664,2595296,2615562,2556073,2498601,2436584,2377513,2369643,2379379,2394986,2379715,2362266
01000,Alabama,20,  Wage and salary employment,2000031,1980265,1965084,1951695,1951485,1975962,2080437,2099969,2077522,2040176,2003918,1968387,1973370,1988146,2008801,2007120,1994381
01000,Alabama,40,  Proprietors employment,559715,552226,547596,549271,517322,518702,514859,515593,478551,458425,432666,409126,396273,391233,386185,372595,367885
01000,Alabama,50,    Farm proprietors employment,38635,38707,38196,40047,40745,41130,41846,43094,37981,38955,39137,40802,41915,47687,48927,50130,51389
01000,Alabama,60,    Nonfarm proprietors employment,521080,513519,509400,509224,476577,477572,473013,472499,440570,419470,393529,368324,354358,343546,337258,322465,316496
01000,Alabama,70,  Farm employment,43946,46431,45544,48235,48571,50570,49569,50709,47006,47281,48794,49412,50997,56017,57264,58377,60669
01000,Alabama,80,  Nonfarm employment,2515800,2486060,2467136,2452731,2420236,2444094,2545727,2564853,2509067,2451320,2387790,2328101,2318646,2323362,2337722,2321338,2301597
01000,Alabama,90,    Private nonfarm employment,2115999,2085126,2063640,2044662,2007000,2032512,2134762,2154523,2102778,2049766,1986958,1932993,1926625,1936983,1951932,1935137,1916697
01000,Alabama,100,"      Forestry, fishing, and related activities",16494,16009,15681,14985,14917,14837,15421,15436,15323,15720,15639,15084,16442,(D),16814,17979,18994
01000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",13674,13662,14081,11962,12012,10967,11687,10700,10375,9822,9003,9081,9239,9464,9301,10880,11927
01000,Alabama,300,      Utilities,14657,14710,14565,14618,14569,14261,14551,13828,13329,13014,13772,13853,14182,14613,14535,14479,14444
01000,Alabama,400,      Construction,138643,137384,138349,140654,145270,156130,176960,185807,180932,173243,163857,156979,153573,159875,158707,156756,153025
01000,Alabama,500,      Manufacturing,263640,259174,252646,246391,244262,254808,290406,304306,310138,306316,298800,299776,315285,335418,353948,361864,371337
01000,Alabama,510,        Durable goods manufacturing,171033,165338,159562,153346,151244,157858,183291,191380,192023,182839,172752,169064,176552,182510,191437,195016,195933
01000,Alabama,530,        Nondurable goods manufacturing,92607,93836,93084,93045,93018,96950,107115,112926,118115,123477,126048,130712,138733,152908,162511,166848,175404
01000,Alabama,600,      Wholesale trade,81117,81245,80377,80193,78935,82034,88513,89817,89185,86876,85014,83015,84258,86801,88176,86909,86193
01000,Alabama,700,      Retail trade,279461,275797,273668,274957,270465,275778,287668,294262,287945,288167,283666,280176,278684,278472,284092,283414,284330
01000,Alabama,800,      Transportation and warehousing,77873,75402,73940,72085,69655,70716,75554,77667,75831,73067,69393,67822,69213,71943,73138,71192,71561
01000,Alabama,900,      Information,28101,28666,28408,29011,29272,30398,32736,33168,35451,36294,36004,36073,37978,40950,40488,38171,36968
01000,Alabama,1000,      Finance and insurance,109631,108774,107775,108829,102498,105954,102995,98971,95087,94341,92498,91770,89636,89485,89902,88699,87198
01000,Alabama,1100,      Real estate and rental and leasing,96189,95902,94570,97683,95022,93941,96750,95432,87261,81467,73808,66948,64291,63647,63015,57066,59813
01000,Alabama,1200,"      Professional, scientific, and technical services",140289,139631,138450,138055,138362,140402,144706,142298,136237,130741,129023,122231,117959,115372,112693,109635,101660
01000,Alabama,1300,      Management of companies and enterprises,16983,17720,18548,17614,17082,16736,16066,15696,14310,13199,12612,11563,10502,9598,9167,8816,9329
