GeoFips,GeoName,LineCode,Description,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1000,Alabama,1,Total Private Employment,2035752,2097047,2149784,2205232,2184331,2083082,2055571,2092897,2109184,2131557,2159945
1000,Alabama,10,Total employment,2436584,2498601,2556073,2615562,2595296,2494664,2468807,2500966,2512680,2532491,2559746
1000,Alabama,20,  Wage and salary employment,2003918,2040176,2077522,2099969,2080437,1975962,1951485,1951695,1965084,1980265,2000031
1000,Alabama,40,  Proprietors employment,432666,458425,478551,515593,514859,518702,517322,549271,547596,552226,559715
1000,Alabama,50,    Farm proprietors employment,39137,38955,37981,43094,41846,41130,40745,40047,38196,38707,38635
1000,Alabama,60,    Nonfarm proprietors employment,393529,419470,440570,472499,473013,477572,476577,509224,509400,513519,521080
1000,Alabama,70,  Farm employment,48794,47281,47006,50709,49569,50570,48571,48235,45544,46431,43946
1000,Alabama,80,  Nonfarm employment,2387790,2451320,2509067,2564853,2545727,2444094,2420236,2452731,2467136,2486060,2515800
1000,Alabama,90,    Private nonfarm employment,1986958,2049766,2102778,2154523,2134762,2032512,2007000,2044662,2063640,2085126,2115999
1000,Alabama,100,"      Forestry, fishing, and related activities",15639,15720,15323,15436,15421,14837,14917,14985,15681,16009,16494
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",9003,9822,10375,10700,11687,10967,12012,11962,14081,13662,13674
1000,Alabama,300,      Utilities,13772,13014,13329,13828,14551,14261,14569,14618,14565,14710,14657
1000,Alabama,400,      Construction,163857,173243,180932,185807,176960,156130,145270,140654,138349,137384,138643
1000,Alabama,500,      Manufacturing,298800,306316,310138,304306,290406,254808,244262,246391,252646,259174,263640
1000,Alabama,510,        Durable goods manufacturing,172752,182839,192023,191380,183291,157858,151244,153346,159562,165338,171033
1000,Alabama,530,        Nondurable goods manufacturing,126048,123477,118115,112926,107115,96950,93018,93045,93084,93836,92607
1000,Alabama,600,      Wholesale trade,85014,86876,89185,89817,88513,82034,78935,80193,80377,81245,81117
1000,Alabama,700,      Retail trade,283666,288167,287945,294262,287668,275778,270465,274957,273668,275797,279461
1000,Alabama,800,      Transportation and warehousing,69393,73067,75831,77667,75554,70716,69655,72085,73940,75402,77873
1000,Alabama,900,      Information,36004,36294,35451,33168,32736,30398,29272,29011,28408,28666,28101
1000,Alabama,1000,      Finance and insurance,92498,94341,95087,98971,102995,105954,102498,108829,107775,108774,109631
1000,Alabama,1100,      Real estate and rental and leasing,73808,81467,87261,95432,96750,93941,95022,97683,94570,95902,96189
1000,Alabama,1200,"      Professional, scientific, and technical services",129023,130741,136237,142298,144706,140402,138362,138055,138450,139631,140289
1000,Alabama,1300,      Management of companies and enterprises,12612,13199,14310,15696,16066,16736,17082,17614,18548,17720,16983
1000,Alabama,1400,      Administrative and support and waste management and remediation services,138533,145708,151952,158517,156244,146877,154435,157192,166784,167305,172894
1000,Alabama,1500,      Educational services,29442,30667,32899,34180,35446,36999,38122,38359,38579,40289,41454
1000,Alabama,1600,      Health care and social assistance,196674,203281,210766,218933,222819,222350,226475,231422,232619,234372,236470
1000,Alabama,1700,"      Arts, entertainment, and recreation",28676,30334,31607,33110,33845,34072,32977,33671,33915,34062,34720
1000,Alabama,1800,      Accommodation and food services,153879,158350,163664,167814,168626,164274,162773,166559,170450,175625,180300
1000,Alabama,1900,      Other services (except public administration),156665,159159,160486,164581,163769,160978,159897,170422,170235,169397,173409
1000,Alabama,2000,    Government and government enterprises,400832,401554,406289,410330,410965,411582,413236,408069,403496,400934,399801
1000,Alabama,2001,"      Federal, civilian",51125,51603,51803,52029,52590,54144,58484,57595,56123,54671,53539
1000,Alabama,2002,      Military,39604,36853,36996,36262,32112,33131,32751,32704,31064,30557,30107
1000,Alabama,2010,      State and local,310103,313098,317490,322039,326263,324307,322001,317770,316309,315706,316155
1000,Alabama,2011,        State government,102086,102664,103682,104855,106142,105610,105190,104374,103356,102402,102977
1000,Alabama,2012,        Local government,208017,210434,213808,217184,220121,218697,216811,213396,212953,213304,213178
2000,Alaska,1,Total Private Employment,314276,321398,327327,335159,338515,335744,335873,341738,350397,354152,359392
2000,Alaska,10,Total employment,414956,422749,431661,440243,444239,443652,444061,450594,459331,461701,465130
2000,Alaska,20,  Wage and salary employment,330154,335952,343478,347801,352040,351916,352718,358857,365191,366451,367291
2000,Alaska,40,  Proprietors employment,84802,86797,88183,92442,92199,91736,91343,91737,94140,95250,97839
2000,Alaska,50,    Farm proprietors employment,518,540,535,579,588,596,609,631,640,651,651
2000,Alaska,60,    Nonfarm proprietors employment,84284,86257,87648,91863,91611,91140,90734,91106,93500,94599,97188
2000,Alaska,70,  Farm employment,729,746,743,774,934,1092,1131,1233,1061,1078,1160
2000,Alaska,80,  Nonfarm employment,414227,422003,430918,439469,443305,442560,442930,449361,458270,460623,463970
2000,Alaska,90,    Private nonfarm employment,313547,320652,326584,334385,337581,334652,334742,340505,349336,353074,358232
2000,Alaska,100,"      Forestry, fishing, and related activities",12263,12516,12344,12037,12257,11631,12092,11510,11402,12120,13007
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",10987,11628,13529,15927,17451,17006,17831,18367,21799,21263,22406
2000,Alaska,300,      Utilities,1902,1934,1935,1949,2032,2080,2247,2188,2200,2224,2211
2000,Alaska,400,      Construction,26031,27294,27003,26643,25992,25006,24152,23586,24059,24220,25084
2000,Alaska,500,      Manufacturing,14094,14419,15116,15352,15048,15230,14872,16023,16449,16955,17145
2000,Alaska,510,        Durable goods manufacturing,3015,3203,3234,3534,3578,3657,3348,3428,3715,3829,3744
2000,Alaska,530,        Nondurable goods manufacturing,11079,11216,11882,11818,11470,11573,11524,12595,12734,13126,13401
2000,Alaska,600,      Wholesale trade,7269,7407,7555,7575,7497,7303,7221,7363,7225,7596,7480
2000,Alaska,700,      Retail trade,44447,45465,45417,45773,45299,44622,43669,44165,43932,44157,45135
2000,Alaska,800,      Transportation and warehousing,22326,22510,23010,23741,23972,23162,22457,22929,23825,23485,23642
2000,Alaska,900,      Information,7765,7925,7978,8059,8083,7633,7474,7392,7201,7213,7316
